Record No.,Date,Name of the student,UCID Number,Class,Mobile Number,Sanctioned Amount,Description of Scheme,Remark,clean_low,sentiment_label,month,year
27,2018-11-11,Shivam Sahay,2990630934,COMPS,9876579343,1876,"Membership - IET, IEEE, CSI, ASM",Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,11,2018
28,2021-05-29,Uday Thakkar,2115443904,EXTC,9876544884,1552,"Membership - IET, IEEE, CSI, ASM",Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,5,2021
29,2020-03-09,Sampada Pandey,2589843709,CSE-DS,9876510418,1634,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,3,2020
30,2017-06-19,Prachi Gavaskar,2490577904,EXTC,9876512570,589,"Membership - IET, IEEE, CSI, ASM",Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,6,2017
31,2022-08-29,Rakshit Dikshit,2779589099,CSE-DS,9876574495,655,External Technical Training Programs,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,8,2022
32,2017-11-17,Manoj Dwivedi,2757930837,COMPS,9876518809,336,Conference - Seminar - Workshops - Exhibition - Technical Festival,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,11,2017
33,2019-05-13,Kamala Biswas,2237494925,CSE-DS,9876531022,1720,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,5,2019
34,2019-12-25,Purvi Kapoor,2406828709,CSE-DS,9876590801,879,External Technical Training Programs,Excellent performance in last semester.,excellent performance in last semester.,Positive,12,2019
35,2022-01-30,Ranveer Khandelwal,2805852939,CSE-AIML,9876591723,132,"Membership - IET, IEEE, CSI, ASM",Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,1,2022
36,2018-10-27,Madan Bhatt,2255692150,CSE-DS,9876581705,1563,"Membership - IET, IEEE, CSI, ASM",Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,10,2018
37,2024-01-29,Harshit Maali,2990354262,COMPS,9876519203,277,"Membership - IET, IEEE, CSI, ASM",Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,1,2024
38,2021-02-11,Sudeeksha Dixit,2985692088,COMPS,9876590536,587,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,2,2021
39,2018-05-17,Aryan Kumar,2028379494,COMPS,9876532636,663,External Technical Training Programs,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,5,2018
40,2020-12-06,Vishal Joshi,2788816019,COMPS,9876525115,219,"Membership - IET, IEEE, CSI, ASM",Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,12,2020
41,2023-02-23,Hardik Lohia,2975086815,COMPS,9876536809,106,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,2,2023
42,2019-02-10,Kishan Thakur,2872116280,COMPS,9876553305,1941,Conference - Seminar - Workshops - Exhibition - Technical Festival,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,2,2019
43,2023-01-02,Pallav Shaw,2891174320,EXTC,9876560851,1476,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,1,2023
44,2023-08-30,Murali Gambhir,2491271395,CSE-DS,9876587392,1164,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,8,2023
45,2022-03-21,Subodh Scindia,2271344304,COMPS,9876515625,566,External Technical Training Programs,Excellent performance in last semester.,excellent performance in last semester.,Positive,3,2022
46,2022-06-01,Harinakshi Chaudhari,2164012653,EXTC,9876544762,1749,"Membership - IET, IEEE, CSI, ASM",Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,6,2022
47,2017-06-28,Vijaya Didwania,2715415212,CSE-AIML,9876537314,805,Conference - Seminar - Workshops - Exhibition - Technical Festival,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,6,2017
48,2021-03-19,Tulika Dhanuka,2481780069,CSE-DS,9876576321,1417,"Membership - IET, IEEE, CSI, ASM",Excellent performance in last semester.,excellent performance in last semester.,Positive,3,2021
49,2019-01-31,Chandika Sethi,2247688316,CSE-AIML,9876559952,1673,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,1,2019
50,2021-03-05,Suresh Dubey,2774069657,CSE-DS,9876536124,1573,Conference - Seminar - Workshops - Exhibition - Technical Festival,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,3,2021
51,2022-09-06,Ishani Umar,2412696530,EXTC,9876540431,1412,Conference - Seminar - Workshops - Exhibition - Technical Festival,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,9,2022
52,2017-04-11,Kavindra Mukhopadhyay,2891036383,CSE-DS,9876535053,1730,External Technical Training Programs,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,4,2017
53,2021-08-31,Baikunth Jhunjhunwala,2548787335,COMPS,9876531043,880,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,8,2021
54,2022-06-07,Praveen Dutta,2787445245,COMPS,9876538203,1645,External Technical Training Programs,Excellent performance in last semester.,excellent performance in last semester.,Positive,6,2022
55,2018-05-12,Gagandeep Khattar,2781529960,COMPS,9876517693,746,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,5,2018
56,2021-08-21,Sankalp Maken,2402520596,COMPS,9876556279,1274,External Technical Training Programs,Excellent performance in last semester.,excellent performance in last semester.,Positive,8,2021
57,2021-06-27,Dhananjay Lalwani,2295084286,COMPS,9876589271,1017,External Technical Training Programs,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,6,2021
58,2022-05-19,Shravan Mukherjee,2691486147,CSE-DS,9876567810,678,External Technical Training Programs,Excellent performance in last semester.,excellent performance in last semester.,Positive,5,2022
59,2023-12-06,Jawahar Sengupta,2827031385,COMPS,9876514267,885,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,12,2023
60,2018-07-15,Aparajita Jaitley,2525088940,EXTC,9876515940,1346,"Membership - IET, IEEE, CSI, ASM",Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,7,2018
61,2017-08-15,Shivangi Nagar,2189704949,EXTC,9876551523,1987,"Membership - IET, IEEE, CSI, ASM",Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,8,2017
62,2021-07-09,Archana Jahagirdar,2876300950,CSE-DS,9876531885,556,"Membership - IET, IEEE, CSI, ASM",Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,7,2021
63,2018-03-04,Ramesh Gaur,2239420356,EXTC,9876580154,1174,External Technical Training Programs,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,3,2018
64,2022-02-17,Nityanand Holkar,2467515023,COMPS,9876556976,1322,Conference - Seminar - Workshops - Exhibition - Technical Festival,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,2,2022
65,2022-07-10,Havisha Gujral,2588700612,EXTC,9876580609,1281,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,7,2022
66,2021-03-26,Sheetendra Nair,2183789983,COMPS,9876526535,1128,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,3,2021
67,2021-01-13,Kangana Mittal,2890798268,COMPS,9876558340,710,"Membership - IET, IEEE, CSI, ASM",Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,1,2021
68,2019-11-30,Poonam Roy,2763556131,EXTC,9876574437,115,"Membership - IET, IEEE, CSI, ASM",Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,11,2019
69,2017-05-15,Atulanand Rajpoot,2258201608,EXTC,9876548771,194,"Membership - IET, IEEE, CSI, ASM",Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,5,2017
70,2017-04-26,Ramayan Rawat,2040389232,EXTC,9876525245,402,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,4,2017
71,2018-04-25,Shatakshi Goenka,2708885947,CSE-DS,9876539717,901,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,4,2018
72,2020-08-20,Sonakshi Kapoor,2992967672,CSE-DS,9876575420,608,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,8,2020
73,2023-10-16,Abha Banerjee,2132508233,CSE-AIML,9876563093,417,"Membership - IET, IEEE, CSI, ASM",Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,10,2023
74,2021-05-10,Hamsika Bhasin,2614428842,CSE-AIML,9876599423,1760,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,5,2021
75,2018-02-24,Ashirwad Dwivedi,2231153765,EXTC,9876545913,945,External Technical Training Programs,Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,2,2018
76,2020-09-16,Anish Chouhan,2553629707,CSE-AIML,9876519849,417,Conference - Seminar - Workshops - Exhibition - Technical Festival,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,9,2020
77,2019-07-27,Raghavi Bhasin,2977868568,COMPS,9876518289,1914,External Technical Training Programs,Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,7,2019
78,2021-11-11,Raghav Sahu,2126659889,CSE-DS,9876532930,1990,Conference - Seminar - Workshops - Exhibition - Technical Festival,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,11,2021
79,2021-12-14,Mamta Kedia,2527190089,COMPS,9876562692,1196,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,12,2021
80,2017-04-30,Rishabh Jindal,2368482768,CSE-AIML,9876541912,1474,External Technical Training Programs,Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,4,2017
81,2018-07-19,Avnish Phogat,2903273413,EXTC,9876584560,352,External Technical Training Programs,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,7,2018
82,2023-12-26,Arpita Sood,2009691351,CSE-AIML,9876537846,1698,"Membership - IET, IEEE, CSI, ASM",Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,12,2023
83,2021-05-09,Aviral Rajpurohit,2239260279,EXTC,9876537435,1013,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,5,2021
84,2022-03-09,Pranay Khanna,2121079374,CSE-DS,9876525381,1535,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,3,2022
85,2020-08-30,Jeevika Menon,2533627141,CSE-AIML,9876529968,1316,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,8,2020
86,2017-10-22,Devasena Prasad,2691202896,CSE-AIML,9876543075,470,"Membership - IET, IEEE, CSI, ASM",Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,10,2017
87,2017-05-19,Shrinath Narula,2460856517,CSE-AIML,9876552981,1011,External Technical Training Programs,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,5,2017
88,2021-03-03,Premnarayan Pushkar,2820784818,COMPS,9876578600,721,"Membership - IET, IEEE, CSI, ASM",Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,3,2021
89,2021-08-05,Aradhana Chandra,2199722140,COMPS,9876543659,1087,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,8,2021
90,2019-12-16,Shaloo Pujari,2459793649,COMPS,9876582249,111,External Technical Training Programs,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,12,2019
91,2023-10-04,Komal Pushkar,2325164030,CSE-AIML,9876556109,1486,Conference - Seminar - Workshops - Exhibition - Technical Festival,Excellent performance in last semester.,excellent performance in last semester.,Positive,10,2023
92,2021-10-18,Shilpi Lokhande,2248524300,CSE-AIML,9876518417,1262,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,10,2021
93,2022-08-07,Bhoomi Rathi,2826600776,COMPS,9876572184,1004,"Membership - IET, IEEE, CSI, ASM",Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,8,2022
94,2019-08-12,Khyati Govil,2441244286,CSE-AIML,9876550990,438,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,8,2019
95,2022-10-08,Vishwas Mukherjee,2243433496,CSE-DS,9876544983,216,Conference - Seminar - Workshops - Exhibition - Technical Festival,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,10,2022
96,2024-02-29,Dheeraj Tendulkar,2742314525,EXTC,9876532582,279,Conference - Seminar - Workshops - Exhibition - Technical Festival,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,2,2024
97,2017-05-16,Ratan Ketkar,2757694520,CSE-DS,9876538087,1915,Conference - Seminar - Workshops - Exhibition - Technical Festival,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,5,2017
98,2021-05-20,Sandeep Bhansali,2514184319,COMPS,9876516191,802,Conference - Seminar - Workshops - Exhibition - Technical Festival,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,5,2021
99,2019-09-12,Anvesha Thackeray,2100633775,EXTC,9876572967,830,Conference - Seminar - Workshops - Exhibition - Technical Festival,Excellent performance in last semester.,excellent performance in last semester.,Positive,9,2019
100,2021-08-01,Pavan Surana,2443144833,CSE-AIML,9876515326,1437,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,8,2021
101,2018-06-13,Debashish Jindal,2881045764,CSE-DS,9876531109,1551,"Membership - IET, IEEE, CSI, ASM",Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,6,2018
102,2020-06-27,Jalaj Awasthi,2732290114,CSE-DS,9876547396,1466,Conference - Seminar - Workshops - Exhibition - Technical Festival,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,6,2020
103,2020-03-13,Vikalp Bharati,2588976712,COMPS,9876517530,1335,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,3,2020
104,2021-10-18,Rahul Dey,2368027028,CSE-AIML,9876514208,419,Conference - Seminar - Workshops - Exhibition - Technical Festival,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,10,2021
105,2021-11-16,Madhuri Rawat,2352362995,CSE-DS,9876587984,1392,Conference - Seminar - Workshops - Exhibition - Technical Festival,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,11,2021
106,2021-04-14,Asha Rajawat,2285643818,CSE-DS,9876535449,220,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,4,2021
107,2018-01-17,Pritika Bhatnagar,2768250146,EXTC,9876544892,1426,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,1,2018
108,2021-11-25,Prachi Kamath,2342822147,EXTC,9876540445,1526,"Membership - IET, IEEE, CSI, ASM",Excellent performance in last semester.,excellent performance in last semester.,Positive,11,2021
109,2021-08-22,Surya Sonkar,2771163747,CSE-AIML,9876585404,1094,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,8,2021
110,2021-02-07,Kedarnath Tata,2850516205,CSE-DS,9876574856,759,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,2,2021
111,2019-04-12,Awadh Bansal,2334323250,EXTC,9876559438,1944,"Membership - IET, IEEE, CSI, ASM",Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,4,2019
112,2021-09-26,Awadh More,2675918671,EXTC,9876511716,158,Conference - Seminar - Workshops - Exhibition - Technical Festival,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,9,2021
113,2019-04-13,Anugya Trivedi,2342048294,CSE-DS,9876580608,1035,"Membership - IET, IEEE, CSI, ASM",Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,4,2019
114,2017-12-02,Kumkum Dwivedi,2653049683,CSE-DS,9876524876,884,External Technical Training Programs,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,12,2017
115,2022-02-05,Seema Kher,2197421370,CSE-DS,9876546902,1132,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,2,2022
116,2022-08-09,Sujal Sampla,2417678365,COMPS,9876587846,1131,"Membership - IET, IEEE, CSI, ASM",Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,8,2022
117,2022-12-04,Manoj Bendre,2960874328,EXTC,9876551393,566,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,12,2022
118,2021-10-05,Shashank Upadhyay,2417350136,COMPS,9876546067,861,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,10,2021
119,2019-03-09,Shuchi Ahale,2069933193,EXTC,9876535272,601,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,3,2019
120,2020-06-20,Varuna Khanna,2404142287,EXTC,9876572939,149,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,6,2020
121,2017-12-25,Pratap Sahani,2475185140,CSE-DS,9876517398,743,External Technical Training Programs,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,12,2017
122,2022-11-07,Rupa Narayan,2584914539,EXTC,9876580134,1168,"Membership - IET, IEEE, CSI, ASM",Excellent performance in last semester.,excellent performance in last semester.,Positive,11,2022
123,2020-04-24,Gopi Reddy,2227181653,COMPS,9876522556,283,"Membership - IET, IEEE, CSI, ASM",Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,4,2020
124,2021-12-23,Ahilya Jaiswal,2184707487,CSE-AIML,9876551041,613,"Membership - IET, IEEE, CSI, ASM",Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,12,2021
125,2017-06-04,Hemlata Tendulkar,2387202356,CSE-AIML,9876512600,1356,External Technical Training Programs,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,6,2017
126,2022-11-24,Bhagwat Patnaik,2039440080,COMPS,9876545313,616,External Technical Training Programs,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,11,2022
127,2021-04-30,Mukund Sharma,2138141858,CSE-DS,9876596139,821,External Technical Training Programs,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,4,2021
128,2021-08-14,Himansh Scindia,2546645096,CSE-AIML,9876519323,394,External Technical Training Programs,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,8,2021
129,2021-04-07,Shwetank Bhattacharya,2528770653,COMPS,9876511559,867,Conference - Seminar - Workshops - Exhibition - Technical Festival,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,4,2021
130,2023-12-28,Rimsha Bakshi,2890236074,COMPS,9876550251,514,"Membership - IET, IEEE, CSI, ASM",Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,12,2023
131,2021-11-12,Tejprakash Tiwari,2393021817,CSE-DS,9876579715,639,"Membership - IET, IEEE, CSI, ASM",Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,11,2021
132,2023-11-19,Konkana Shrivastava,2288374235,CSE-AIML,9876586142,397,External Technical Training Programs,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,11,2023
133,2020-05-02,Nishant Dholakia,2140903926,CSE-AIML,9876566997,638,External Technical Training Programs,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,5,2020
134,2018-02-08,Jwala Nag,2016345526,EXTC,9876572362,1876,Conference - Seminar - Workshops - Exhibition - Technical Festival,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,2,2018
135,2020-02-14,Archana Ahale,2094687999,CSE-AIML,9876545554,524,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,2,2020
136,2018-12-02,Satyam Bahl,2241914903,EXTC,9876516306,1367,Conference - Seminar - Workshops - Exhibition - Technical Festival,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,12,2018
137,2023-05-26,Anuj Kejriwal,2617093039,CSE-DS,9876577291,1565,External Technical Training Programs,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,5,2023
138,2022-06-02,Kaushalya Sawant,2480051612,CSE-AIML,9876544365,807,"Membership - IET, IEEE, CSI, ASM",Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,6,2022
139,2019-12-15,Natwar Soman,2181443850,COMPS,9876513650,1769,"Membership - IET, IEEE, CSI, ASM",Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,12,2019
140,2020-03-18,Navya Tata,2419254892,CSE-AIML,9876584747,1984,"Membership - IET, IEEE, CSI, ASM",Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,3,2020
141,2019-02-02,Natasha Kamal,2530862579,EXTC,9876514152,1171,"Membership - IET, IEEE, CSI, ASM",Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,2,2019
